"26","99B","36","J K","5","V","BCO36","0.48530","BCO24","0.32350","AE67","0.08120","CA55","0.04770","HAR","0.01650","AGUA","0.04570","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"27","99R","36","J K","5","V","BCO36","0.54160","BCO24","0.27100","B64N","0.13020","OH","0.00065","HAR","0.01650","AGUA","0.04000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"28","49A","70","Q","5","V","MAR46","0.06190","MAR60","0.53730","MAR120","0.14940","BB46","0.14070","AE67","0.06140","AGUA","0.04930","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"29","99B","36","H","8","V","BCO24","0.23860","BCO36","0.55750","AE67","0.06860","CA55","0.04075","AS30","0.03800","HAR","0.01945","AGUA","0.03703","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"30","99R","36","H","8","V","BCO36","0.47700","BCO24","0.30900","B64N","0.11360","OH","0.00060","AS30","0.05400","HAR","0.01790","AGUA","0.02790","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"31","A","16","R","6","BAK","MAR14","0.22000","MAR20","0.23000","MAR24","0.21200","CZ20/24","0.09330","FLUO","0.01400","OH","0.00500","CAL","0.01100","RESPOL","0.11500","RESLIQ","0.05500","MAG","0.00467","OX NE","0.04000","","0.00000"
"32","99R","60","K L","5","V","BCO60","0.48570","BCO46","0.32380","B64N","0.13760","OH","0.00119","HAR","0.01595","AGUA","0.03570","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"33","99R","46","J","5","V","BCO46","0.57540","BCO36","0.24640","B64N","0.12250","OH","0.00055","HAR","0.01660","AGUA","0.03850","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"34","99B","46","J K","5","V","BCO46","0.56000","BCO36","0.23960","AE67","0.08179","CA55","0.04608","HAR","0.01612","AGUA","0.05645","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"35","OA","100","K","5","V","MAR120","0.63090","MAR80","0.12620","B64N","0.16400","HAR","0.03150","AGUA","0.04730","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"36","49A","120","P","VR","V","MAR80","0.44300","MAR120","0.22150","RR100FSH","0.11000","B64N","0.10410","AE67","0.06640","AGUA","0.05490","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"37","OA","54","P","5","V","MAR60","0.77980","AE67","0.08600","B64N","0.08600","AGUA","0.04820","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"38","99R","36","J","5","V","BCO36","0.81250","B55N","0.12190","OH","0.00060","HAR","0.02030","AGUA","0.04470","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"39","99R","46","K L","5","V","BCO46","0.57250","BCO36","0.22840","B64N","0.13730","OH","0.00070","HAR","0.01700","AGUA","0.04400","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"40","99B","46","P","5","V","BCO46","0.46920","BCO36","0.31350","BB46","0.07980","AE67","0.03940","AN75","0.03940","HAR","0.01500","AGUA","0.04380","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"41","99R","100","L","5","V","BCO80","0.39490","BCO120","0.39490","B64N","0.14920","OH","0.00082","HAR","0.00829","AGUA","0.05182","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"42","C V","120","J K","5","V","CV120","0.57300","ARF","0.14320","CVA100","0.05700","CC46","0.06330","CC64","0.04020","B64N","0.02580","HAR","0.01150","AGUA","0.08600","","0.00000","","0.00000","","0.00000","","0.00000"
"43","A","14","R","4","BAK","MAR14","0.68850","CZ 14","0.07000","FLUO","0.01200","OH","0.01000","CAL","0.00980","MAG","0.00470","SIL","0.00095","RESPOL","0.11000","RESLIQ","0.04900","PIRIT","0.04500","","0.00000","","0.00000"
"44","99R","80","K","5","V","BCO80","0.80430","B64N","0.13580","OH","0.00065","HAR","0.01550","AGUA","0.04380","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"45","99R","120","LM","5","V","BCO120","0.51200","RUB 80","0.25600","B64N","0.15200","AGUA","0.06000","HAR","0.02000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"46","CN","220","N","5","V","CN3F","0.62500","CVA100","0.06250","CC46","0.18750","AGUA (lts)","0.12500","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"47","C N","36","J","6","BAK","CN36","0.55900","CN46","0.31900","RR100F","0.00800","OH","0.00400","RESLIQ","0.02525","RESPOL","0.08380","SIL","0.00086","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"49","99B","60","J K","5","V","BCO60","0.80880","AE67","0.08273","CA55","0.04850","HAR","0.01283","AGUA","0.04707","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"50","A","36","R","4","BAK","MAR24","0.15000","MAR36","0.46500","MAR46","0.05460","CZ36/46","0.04000","FLUO","0.01170","PIRIT","0.00800","MAG","0.00400","CAL","0.00650","RESPOL","0.16000","RESLIQ","0.06000","SIL","0.00010","OH","0.04000"
"51","A","36","R","6","BAK","MAR24","0.18500","MAR36","0.33500","MAR46","0.15100","CZ 30/46","0.04400","FLUO","0.01500","PYRIT","0.00800","MAG","0.00414","RESPOL","0.15680","RESLIQ","0.05600","cal","0.00500","OH","0.04000","","0.00000"
"52","49A","60","L M","5","V","MAR60","0.38000","BCO46","0.33780","BCO120","0.08461","B55N","0.15240","OH","0.00084","HAR","0.01055","AGUA","0.03380","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
