"86","R R","175X19X19","10.00","181","1.000","C-40","129","0","10","5"
"87","R R","175X25","10.00","16","1.250","40","6","0","10","5"
"88","R R","200X19X19","10.00","181","1.350","C-50","109","0","10","5"
"89","R R","200X25X25","10.00","181","1.750","C-50","460","0","10","5"
"90","R R","230X13X25","10.00","16","1.350","80","7","0","0","0"
"91","R R","250X13X25","10.00","16","1.600","90","4","0","0","0"
"92","R R","200X32X25","10.00","16","2.050","50","2","0","0","0"
"93","R R","200X38X25","10.00","16","2.400","50","2","0","0","0"
"94","R R","150X32X19","10.00","17","1.400","35","4","0","0","0"
"95","R R","200X19X25","10.00","17","1.350","50","3","0","0","0"
"96","SEG","BERCO","10.00","12","0.310","C-6","1530","0","100","50"
"97","R R","150X32X16","10.00","18","1.300","40","2","0","0","0"
"98","R R","200X32X16","10.00","18","2.200","50","2","0","0","0"
"99","R R","150X32X19","10.00","19","1.280","C-30","50","0","0","0"
"100","C R","150X76X22","10.00","19","2.070","C-30","10","0","0","0"
"101","PM A38","1X1X1/4","10.00","198","0.040","30","115","0","0","0"
"102","C R","200X100X73","10.00","20","5.000","G-60","30","0","10","2"
"103","R C/E","70X20X13","10.00","21","0.230","C-6","34","0","10","5"
"104","R R","125X25X19","10.00","5","0.900","20","10","0","10","5"
"105","R R","300X50X38","10.00","5","9.800","G-160","55","0","5","2"
"106","R R","300X32x38","10.00","5","6.400","G-160","52","0","5","2"
"107","R R","500X25X76","10.00","141","14.000","B-250","13","0","0","0"
"108","R R","450X25X150","10.00","7","10.800","250","11","0","0","0"
"109","R R","125X19X19","10.00","7","0.700","C-20","215","0","10","5"
"110","R R","125X25X19","10.00","7","0.900","C-20","85","0","10","5"
"111","R R","175X25X19","10.00","7","1.700","C-40","220","0","10","5"
"112","R R","300X50X76","10.00","8","8.300","150","1","0","0","0"
"113","R R","450X50X127","10.00","22","20.600","250","2","0","0","0"
"114","R R","250X25X32","10.00","174","3.100","G-90","8","0","3","1"
"115","R R","200X25X19","10.00","23","1.850","C-50","27","0","10","5"
"116","R R","200X19X19","10.00","174","1.450","C-50","60","0","10","5"
"117","C R","100X50X19","10.00","24","0.700","C-10","13","0","5","2"
"118","R R","175X19X32","10.00","24","1.250","C-40","25","0","0","0"
"119","SOM","170X25X22","10.00","25","1.020","C-50","2","0","0","0"
"120","SOM","100X25X16","10.00","25","0.380","C-20","10","0","5","2"
"121","R R","250X19X32","10.00","26","2.700","G-100","1","0","0","0"
"122","R R","300X25X25","10.00","11","4.200","G-150","1","0","0","0"
"123","C R","200X76X73","10.00","27","4.150","G-60","45","0","0","0"
"124","C R","150X75X52","10.00","27","2.500","C-30","3","0","0","0"
"125","R R","300X32X38","10.00","27","6.100","G-150","0","0","0","0"
"149","R R","250X38X38","10.00","2","5.600","G-100","4","0","0","0"
"130","RCH","150X6X19","10.00","346","0.450","C-30","244","0","10","5"
"126","R R","230X25X16","10.00","10","2.900","G-90","2","0","0","0"
"127","RCH","250X9X25","10.00","10","1.450","G-100","14","0","0","0"
"128","R R","300X25X25","10.00","10","4.900","G-150","2","0","0","0"
"129","R R","150X25X19","10.00","10","1.250","C-30","162","0","10","5"
"131","RCH","175X6X19","10.00","346","0.500","C-40","348","0","10","5"
"132","RCH","200X6X19","10.00","346","0.700","C-50","2945","0","30","10"
"133","RCH","200X8X19","10.00","346","0.875","C-50","2834","0","50","10"
"134","RCH","200X10X19","10.00","346","1.000","C-50","962","10","10","5"
"135","RCH","250X10X32","10.00","346","1.800","G-90","403","0","5","2"
"136","C R","175X75X73","10.00","29","2.700","C-40","26","0","3","1"
"137","C R","175X75X73","10.00","30","2.800","C-35","3","0","3","1"
"138","R R","508X63X56","10.00","31","32.000","B-250","2","0","0","0"
"139","RCH","250X13X25","10.00","32","1.800","G-110","5","0","0","0"
"140","R R","300X38X38","10.00","33","6.800","G-150","4","0","0","0"
"141","R R","350X38X127","10.00","33","9.000","G-200","6","0","0","0"
"142","R R","350X25X101","10.00","33","6.200","G-200","1","0","0","0"
"143","C R","150X50X19","10.00","152","1.400","C-30","46","0","5","2"
"144","C C","100X50X32","10.00","33","0.650","C-10","1","0","5","2"
"145","C C","100X50X19","10.00","152","0.700","C-10","53","0","5","2"
"146","C R","200X100X73","10.00","34","5.150","G-60","5","0","0","0"
"2411","L B","150X10X8","10.00","285","0.060","D-60","80","0","0","0"
"148","R R","300X25X76","10.00","27","4.700","G-160","4","0","0","0"
"150","R R","250X50X38","10.00","5","7.200","G-100","196","0","5","2"
"151","R R","150X25X19","10.00","5","1.300","C-30","361","0","10","5"
"152","C R","100X50X19","10.00","35","0.720","C-20","30","0","5","2"
"153","R R","47X30X16","10.00","37","0.135","D-50","70","0","0","0"
"154","R R","150X3X19","10.00","36","0.230","C-20","20","0","10","5"
"155","R R","150X4X19","10.00","36","0.290","C-20","390","0","20","5"
"156","R R","150X5X19","10.00","36","0.300","C-20","205","0","20","5"
"157","R R","150X6X19","10.00","36","0.350","C-15","165","0","10","5"
"158","R R","175X4X19","10.00","36","0.350","C-25","60","0","10","5"
"159","R R","175X5X19","10.00","36","0.360","C-25","0","0","10","5"
